Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
rwandaFranc,Rwanda Franc,Currency,RWF,http://qudt.org/vocab/unit#RwandaFranc
saintHelenaPound,Saint Helena Pound,Currency,SHP,http://qudt.org/vocab/unit#SaintHelenaPound
samoanTala,Samoan Tala,Currency,WST,http://qudt.org/vocab/unit#SamoanTala
saudiRiyal,Saudi Riyal,Currency,SAR,http://qudt.org/vocab/unit#SaudiRiyal
serbianDinar,Serbian Dinar,Currency,RSD,http://qudt.org/vocab/unit#SerbianDinar
seychellesRupee,Seychelles Rupee,Currency,SCR,http://qudt.org/vocab/unit#SeychellesRupee
silver(OneTroyOunce),Silver (One Troy Ounce),Currency,XAG,http://qudt.org/vocab/unit#Silver-OunceTroy
singaporeDollar,Singapore Dollar,Currency,SGD,http://qudt.org/vocab/unit#SingaporeDollar
slovakKoruna,Slovak Koruna,Currency,SKK,http://qudt.org/vocab/unit#SlovakKoruna
solomonIslandsDollar,Solomon Islands Dollar,Currency,SBD,http://qudt.org/vocab/unit#SolomonIslandsDollar
som,Som,Currency,KGS,http://qudt.org/vocab/unit#Som
somaliShilling,Somali Shilling,Currency,SOS,http://qudt.org/vocab/unit#SomaliShilling
somoni,Somoni,Currency,TJS,http://qudt.org/vocab/unit#Somoni
southAfricanRand,South African Rand,Currency,ZAR,http://qudt.org/vocab/unit#SouthAfricanRand
southKoreanWon,South Korean Won,Currency,KRW,http://qudt.org/vocab/unit#SouthKoreanWon
specialDrawingRights,Special Drawing Rights,Currency,XDR,http://qudt.org/vocab/unit#SpecialDrawingRights
sriLankaRupee,Sri Lanka Rupee,Currency,LKR,http://qudt.org/vocab/unit#SriLankaRupee
sudanesePound,Sudanese Pound,Currency,SDG,http://qudt.org/vocab/unit#SudanesePound
surinamDollar,Surinam Dollar,Currency,SRD,http://qudt.org/vocab/unit#SurinamDollar
swedishKrona,Swedish Krona,Currency,SEK,http://qudt.org/vocab/unit#SwedishKrona
swissFranc,Swiss Franc,Currency,CHF,http://qudt.org/vocab/unit#SwissFranc
syrianPound,Syrian Pound,Currency,SYP,http://qudt.org/vocab/unit#SyrianPound
tanzanianShilling,Tanzanian Shilling,Currency,TZS,http://qudt.org/vocab/unit#TanzanianShilling
tenge,Tenge,Currency,KZT,http://qudt.org/vocab/unit#Tenge
trinidadAndTobagoDollar,Trinidad And Tobago Dollar,Currency,TTD,http://qudt.org/vocab/unit#TrinidadAndTobagoDollar
tugrik,Tugrik,Currency,MNT,http://qudt.org/vocab/unit#Tugrik
tunisianDinar,Tunisian Dinar,Currency,TND,http://qudt.org/vocab/unit#TunisianDinar
ugandaShilling,Uganda Shilling,Currency,UGX,http://qudt.org/vocab/unit#UgandaShilling
uicFranc(SpecialSettlementCurrency),Uic Franc (Special Settlement Currency),Currency,XFU,http://qudt.org/vocab/unit#UICFranc
unidadDeValorReal,Unidad De Valor Real,Currency,COU,http://qudt.org/vocab/unit#UnidadDeValorReal
unidadesDeFormento(FundsCode),Unidades De Formento (Funds Code),Currency,CLF,http://qudt.org/vocab/unit#UnidadesDeFormento
unitedArabEmiratesDirham,United Arab Emirates Dirham,Currency,AED,http://qudt.org/vocab/unit#UAEDirham
unitedStatesDollar(NextDay)(FundsCode),United States Dollar (Next Day) (Funds Code),Currency,USN,http://qudt.org/vocab/unit#USDollar-NextDay
unitedStatesDollar(SameDay)(FundsCode),United States Dollar (Same Day) (Funds Code),Currency,,http://qudt.org/vocab/unit#USDollar-SameDay
usDollar,US Dollar,Currency,USD,http://qudt.org/vocab/unit#USDollar
uzbekistanSom,Uzbekistan Som,Currency,UZS,http://qudt.org/vocab/unit#UzbekistanSom
vatu,Vatu,Currency,VUV,http://qudt.org/vocab/unit#Vatu
venezuelanBolivar,Venezuelan Bolivar,Currency,VEB,http://qudt.org/vocab/unit#VenezuelanBolvar
vietnamese??Ng,Vietnamese ??Ng,Currency,VND,http://qudt.org/vocab/unit#VietnameseDong
wirEuro(ComplementaryCurrency),Wir Euro (Complementary Currency),Currency,CHE,http://qudt.org/vocab/unit#WIREuro
wirFranc(ComplementaryCurrency),Wir Franc (Complementary Currency),Currency,CHW,http://qudt.org/vocab/unit#WIRFranc
yemeniRial,Yemeni Rial,Currency,YER,http://qudt.org/vocab/unit#YemeniRial
yuanRenminbi,Yuan Renminbi,Currency,CNY,http://qudt.org/vocab/unit#YuanRenminbi
zambianKwacha,Zambian Kwacha,Currency,ZMK,http://qudt.org/vocab/unit#ZambianKwacha
zimbabweDollar,Zimbabwe Dollar,Currency,ZWD,http://qudt.org/vocab/unit#ZimbabweDollar
zloty,Zloty,Currency,PLN,http://qudt.org/vocab/unit#Zloty
afghani,Afghani,Currency,AFN,http://qudt.org/vocab/unit#Afghani
algerianDinar,Algerian Dinar,Currency,DZD,http://qudt.org/vocab/unit#AlgerianDinar
argentinePeso,Argentine Peso,Currency,ARS,http://qudt.org/vocab/unit#ArgentinePeso
armenianDram,Armenian Dram,Currency,AMD,http://qudt.org/vocab/unit#ArmenianDram
arubanGuilder,Aruban Guilder,Currency,AWG,http://qudt.org/vocab/unit#ArubanGuilder
australianDollar,Australian Dollar,Currency,AUD,http://qudt.org/vocab/unit#AustralianDollar
azerbaijanianManat,Azerbaijanian Manat,Currency,AZN,http://qudt.org/vocab/unit#AzerbaijanianManat
bahamianDollar,Bahamian Dollar,Currency,BSD,http://qudt.org/vocab/unit#BahamianDollar
bahrainiDinar,Bahraini Dinar,Currency,BHD,http://qudt.org/vocab/unit#BahrainiDinar
baht,Baht,Currency,THB,http://qudt.org/vocab/unit#Baht
balboa,Balboa,Currency,PAB,http://qudt.org/vocab/unit#Balboa
bangladeshiTaka,Bangladeshi Taka,Currency,BDT,http://qudt.org/vocab/unit#BangladeshiTaka
barbadosDollar,Barbados Dollar,Currency,BBD,http://qudt.org/vocab/unit#BarbadosDollar
belarussianRuble,Belarussian Ruble,Currency,BYR,http://qudt.org/vocab/unit#BelarussianRuble
belizeDollar,Belize Dollar,Currency,BZD,http://qudt.org/vocab/unit#BelizeDollar
bermudaDollar,Bermuda Dollar,Currency,BMD,http://qudt.org/vocab/unit#BermudaDollar
bolivianMvdol(FundsCode),Bolivian Mvdol (Funds Code),Currency,BOV,http://qudt.org/vocab/unit#BolivianMvdol
boliviano,Boliviano,Currency,BOB,http://qudt.org/vocab/unit#Boliviano
brazilianReal,Brazilian Real,Currency,BRL,http://qudt.org/vocab/unit#BrazilianReal
bruneiDollar,Brunei Dollar,Currency,BND,http://qudt.org/vocab/unit#BruneiDollar
bulgarianLev,Bulgarian Lev,Currency,BGN,http://qudt.org/vocab/unit#BulgarianLev
burundianFranc,Burundian Franc,Currency,BIF,http://qudt.org/vocab/unit#BurundianFranc
canadianDollar,Canadian Dollar,Currency,CAD,http://qudt.org/vocab/unit#CanadianDollar
capeVerdeEscudo,Cape Verde Escudo,Currency,CVE,http://qudt.org/vocab/unit#CapeVerdeEscudo
caymanIslandsDollar,Cayman Islands Dollar,Currency,KYD,http://qudt.org/vocab/unit#CaymanIslandsDollar
cedi,Cedi,Currency,GHS,http://qudt.org/vocab/unit#Cedi
cfaFrancBceao,Cfa Franc Bceao,Currency,XOF,http://qudt.org/vocab/unit#CFAFrancBCEAO
cfaFrancBeac,Cfa Franc Beac,Currency,XAF,http://qudt.org/vocab/unit#CFAFrancBEAC
cfpFranc,Cfp Franc,Currency,XPF,http://qudt.org/vocab/unit#CFPFranc
chileanPeso,Chilean Peso,Currency,CLP,http://qudt.org/vocab/unit#ChileanPeso
colombianPeso,Colombian Peso,Currency,COP,http://qudt.org/vocab/unit#ColombianPeso
comoroFranc,Comoro Franc,Currency,KMF,http://qudt.org/vocab/unit#ComoroFranc
convertibleMarks,Convertible Marks,Currency,BAM,http://qudt.org/vocab/unit#ConvertibleMark
cordobaOro,Cordoba Oro,Currency,NIO,http://qudt.org/vocab/unit#CordobaOro
costaRicanColon,Costa Rican Colon,Currency,CRC,http://qudt.org/vocab/unit#CostaRicanColon
croatianKuna,Croatian Kuna,Currency,HRK,http://qudt.org/vocab/unit#CroatianKuna
cubanPeso,Cuban Peso,Currency,CUP,http://qudt.org/vocab/unit#CubanPeso
cyprusPound,Cyprus Pound,Currency,CYP,http://qudt.org/vocab/unit#CyprusPound
czechKoruna,Czech Koruna,Currency,CZK,http://qudt.org/vocab/unit#CzechKoruna
dalasi,Dalasi,Currency,GMD,http://qudt.org/vocab/unit#Dalasi
danishKrone,Danish Krone,Currency,DKK,http://qudt.org/vocab/unit#DanishKrone
denar,Denar,Currency,MKD,http://qudt.org/vocab/unit#Denar
djiboutiFranc,Djibouti Franc,Currency,DJF,http://qudt.org/vocab/unit#DjiboutiFranc
dobra,Dobra,Currency,STD,http://qudt.org/vocab/unit#Dobra
dominicanPeso,Dominican Peso,Currency,DOP,http://qudt.org/vocab/unit#DominicanPeso
eastCaribbeanDollar,East Caribbean Dollar,Currency,XCD,http://qudt.org/vocab/unit#EastCaribbeanDollar
egyptianPound,Egyptian Pound,Currency,EGP,http://qudt.org/vocab/unit#EgyptianPound
ethiopianBirr,Ethiopian Birr,Currency,ETB,http://qudt.org/vocab/unit#EthiopianBirr
euro,Euro,Currency,EUR,http://qudt.org/vocab/unit#Euro
europeanCompositeUnit(Eurco)(BondsMarketUnit),European Composite Unit (Eurco) (Bonds Market Unit),Currency,XBA,http://qudt.org/vocab/unit#EuropeanCompositeUnit
europeanMonetaryUnit(E.M.U.-6)(BondsMarketUnit),European Monetary Unit (E.M.U.-6) (Bonds Market Unit),Currency,XBB,http://qudt.org/vocab/unit#EuropeanMonetaryUnit
europeanUnitOfAccount17(E.U.A.-17)(BondsMarketUnit),European Unit of Account 17 (E.U.A.-17) (Bonds Market Unit),Currency,XBD,http://qudt.org/vocab/unit#EuropeanUnitOfAccount17
europeanUnitOfAccount9(E.U.A.-9)(BondsMarketUnit),European Unit of Account 9 (E.U.A.-9) (Bonds Market Unit),Currency,XBC,http://qudt.org/vocab/unit#EuropeanUnitOfAccount9
falklandIslandsPound,Falkland Islands Pound,Currency,FKP,http://qudt.org/vocab/unit#FalklandIslandsPound
fijiDollar,Fiji Dollar,Currency,FJD,http://qudt.org/vocab/unit#FijiDollar
forint,Forint,Currency,HUF,http://qudt.org/vocab/unit#Forint
francCongolais,Franc Congolais,Currency,CDF,http://qudt.org/vocab/unit#FrancCongolais
gibraltarPound,Gibraltar Pound,Currency,GIP,http://qudt.org/vocab/unit#GibraltarPound
gold(OneTroyOunce),Gold (One Troy Ounce),Currency,XAU,http://qudt.org/vocab/unit#Gold-OunceTroy
goldFranc(SpecialSettlementCurrency),Gold Franc (Special Settlement Currency),Currency,XFO,http://qudt.org/vocab/unit#GoldFranc
guarani,Guarani,Currency,PYG,http://qudt.org/vocab/unit#Guarani
guineaFranc,Guinea Franc,Currency,GNF,http://qudt.org/vocab/unit#GuineaFranc
guyanaDollar,Guyana Dollar,Currency,GYD,http://qudt.org/vocab/unit#GuyanaDollar
haitiGourde,Haiti Gourde,Currency,HTG,http://qudt.org/vocab/unit#HaitiGourde
hongKongDollar,Hong Kong Dollar,Currency,HKD,http://qudt.org/vocab/unit#HongKongDollar
hryvnia,Hryvnia,Currency,UAH,http://qudt.org/vocab/unit#Hryvnia
icelandKrona,Iceland Krona,Currency,ISK,http://qudt.org/vocab/unit#IcelandKrona
indianRupee,Indian Rupee,Currency,INR,http://qudt.org/vocab/unit#IndianRupee
iranianRial,Iranian Rial,Currency,IRR,http://qudt.org/vocab/unit#IranianRial
iraqiDinar,Iraqi Dinar,Currency,IQD,http://qudt.org/vocab/unit#IraqiDinar
jamaicanDollar,Jamaican Dollar,Currency,JMD,http://qudt.org/vocab/unit#JamaicanDollar
japaneseYen,Japanese Yen,Currency,JPY,http://qudt.org/vocab/unit#JapaneseYen
jordanianDinar,Jordanian Dinar,Currency,JOD,http://qudt.org/vocab/unit#JordanianDinar
kenyanShilling,Kenyan Shilling,Currency,KES,http://qudt.org/vocab/unit#KenyanShilling
kina,Kina,Currency,PGK,http://qudt.org/vocab/unit#Kina
kroon,Kroon,Currency,EEK,http://qudt.org/vocab/unit#Kroon
kuwaitiDinar,Kuwaiti Dinar,Currency,KWD,http://qudt.org/vocab/unit#KuwaitiDinar
kwanza,Kwanza,Currency,AOA,http://qudt.org/vocab/unit#Kwanza
kyat,Kyat,Currency,MMK,http://qudt.org/vocab/unit#Kyat
laosKip,Laos Kip,Currency,LAK,http://qudt.org/vocab/unit#LaosKip
lari,Lari,Currency,GEL,http://qudt.org/vocab/unit#Lari
latvianLats,Latvian Lats,Currency,LVL,http://qudt.org/vocab/unit#LatvianLats
lebanesePound,Lebanese Pound,Currency,LBP,http://qudt.org/vocab/unit#LebanesePound
lek,Lek,Currency,ALL,http://qudt.org/vocab/unit#Lek
lempira,Lempira,Currency,HNL,http://qudt.org/vocab/unit#Lempira
leone,Leone,Currency,SLL,http://qudt.org/vocab/unit#Leone
liberianDollar,Liberian Dollar,Currency,LRD,http://qudt.org/vocab/unit#LiberianDollar
libyanDinar,Libyan Dinar,Currency,LYD,http://qudt.org/vocab/unit#LibyanDinar
bitsPerSecond,Bits per Second,Data rate,bps,http://qudt.org/vocab/unit#BitsPerSecond
kilobitPerSecond,Kilobit per Second,Data rate,kbps,http://qudt.org/vocab/unit#KilobitsPerSecond
megabitPerSecond,Megabit per Second,Data rate,mbps,http://qudt.org/vocab/unit#MegabitsPerSecond
centistokes,Centistokes,Diffusivity,cSt,http://qudt.org/vocab/unit#Centistokes
squareFootPerHour,Square Foot per Hour,Diffusivity,ft^2/hr,http://qudt.org/vocab/unit#SquareFootPerHour
squareFootPerSecond,Square Foot per Second,Diffusivity,ft^2/s,http://qudt.org/vocab/unit#SquareFootPerSecond
squareMeterPerSecond,Square Meter per Second,Diffusivity,m^2 s^-1,http://qudt.org/vocab/unit#SquareMeterPerSecond
stoke,Stoke,Diffusivity,St,http://qudt.org/vocab/unit#Stokes; http://unitsofmeasure.org/ucum.html#para-33; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
code,Code,Dimensionless,code,USGS
dimensionless,Dimensionless,Dimensionless,-,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
hounsfieldUnit,Hounsfield Unit,Dimensionless,hnsf'U,http://unitsofmeasure.org/ucum.html#para-44
mach,Mach,Dimensionless,,http://qudt.org/vocab/unit#Mach
partPerBillion,Part per Billion,Dimensionless,ppb,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
partPerMillion,Part per Million,Dimensionless,ppm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
partPerQuadrillion,Part per Quadrillion,Dimensionless,ppq,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
partPerQuintillion,Part per Quintillion,Dimensionless,ppqt,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
partPerThousand,Part per Thousand,Dimensionless,ppth,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://qwwebservices.usgs.gov/service-domains.html
partPerTrillion,Part per Trillion,Dimensionless,ppt,http://environment.data.gov.au/def/unit/PerTrillion; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
percent,Percent,Dimensionless,%,http://qudt.org/vocab/unit#Percent; http://unitsofmeasure.org/ucum.html#para-29; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html
perMille,Per Mille,Dimensionless,per mil,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PerMil; http://qwwebservices.usgs.gov/service-domains.html
presenceOrAbsence,Presence or Absence,Dimensionless,PrsAbs,http://qwwebservices.usgs.gov/service-domains.html
standardUnit,Standard Unit,Dimensionless,std units,http://qwwebservices.usgs.gov/service-domains.html
thresholdOdorNumber,Threshold Odor Number,Dimensionless,TON,http://qwwebservices.usgs.gov/service-domains.html
tritiumUnit,Tritium Unit,Dimensionless,TU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/Tritium_Unit; http://qwwebservices.usgs.gov/service-domains.html
unitedStatesPharmacopeiaUnit,United States Pharmacopeia Unit,Dimensionless,USP'U,http://unitsofmeasure.org/ucum.html#para-45
rem,REM,Dose equivalent,REM,http://qudt.org/vocab/unit#Rem; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
sievert,Sievert,Dose equivalent,Sv,http://qudt.org/vocab/unit#Sievert; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
centipoise,Centipoise,Dynamic viscosity,cP,http://qudt.org/vocab/unit#Centipoise
pascalSecond,Pascal Second,Dynamic viscosity,Pa-s,http://qudt.org/vocab/unit#PascalSecond
poise,Poise,Dynamic viscosity,P,http://qudt.org/vocab/unit#Poise; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
poundForceSecondPerSquareFoot,Pound Force Second per Square Foot,Dynamic viscosity,lbf-s/ft^2,http://qudt.org/vocab/unit#PoundForceSecondPerSquareFoot
poundForceSecondPerSquareInch,Pound Force Second per Square Inch,Dynamic viscosity,lbf-s/in^2,http://qudt.org/vocab/unit#PoundForceSecondPerSquareInch
poundPerFootHour,Pound per Foot Hour,Dynamic viscosity,lb/(ft-hr),http://qudt.org/vocab/unit#PoundPerFootHour
poundPerFootSecond,Pound per Foot Second,Dynamic viscosity,lb/(ft-s),http://qudt.org/vocab/unit#PoundPerFootSecond
slugPerFootSecond,Slug per Foot Second,Dynamic viscosity,slug/(ft-s),http://qudt.org/vocab/unit#SlugPerFootSecond
abfarad,Abfarad,Electrical capacitance,abF,http://qudt.org/vocab/unit#Abfarad
farad,Farad,Electrical capacitance,F,http://qudt.org/vocab/unit#Farad; http://unitsofmeasure.org/ucum.html#para-30
microfarad,Microfarad,Electrical capacitance,microF,http://qudt.org/vocab/unit#MicroFarad
nanofarad,Nanofarad,Electrical capacitance,nF,http://qudt.org/vocab/unit#NanoFarad
picofarad,Picofarad,Electrical capacitance,pF,http://qudt.org/vocab/unit#PicoFarad
statfarad,Statfarad,Electrical capacitance,statF,http://qudt.org/vocab/unit#Statfarad; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
abcoulomb,Abcoulomb,Electrical charge,abC,http://qudt.org/vocab/unit#Abcoulomb
ampereHour,Ampere Hour,Electrical charge,A-hr,http://qudt.org/vocab/unit#AmpereHour
c12Faraday,C12 Faraday,Electrical charge,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
chemicalEquivalent,Chemical Equivalent,Electrical charge,eq,http://unitsofmeasure.org/ucum.html#para-45
chemicalFaraday,Chemical Faraday,Electrical charge,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
coulomb,Coulomb,Electrical charge,C,http://qudt.org/vocab/unit#Coulomb
faraday,Faraday,Electrical charge,F,http://qudt.org/vocab/unit#Faraday
franklin,Franklin,Electrical charge,Fr,http://qudt.org/vocab/unit#Franklin
milliequivalent,Milliequivalent,Electrical charge,meq,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
physicalFaraday,Physical Faraday,Electrical charge,,http://www.unidata.ucar.edu/software/udunits/
planckCharge,Planck Charge,Electrical charge,Q_p,http://qudt.org/vocab/unit#PlanckCharge
statcoulomb,Statcoulomb,Electrical charge,statC,http://qudt.org/vocab/unit#Statcoulomb; http://www.unidata.ucar.edu/software/udunits/
coulombPerMeter,Coulomb per Meter,Electrical charge line density,C/m,http://qudt.org/vocab/unit#CoulombPerMeter
coulombPerMole,Coulomb per Mole,Electrical charge per count,,http://qudt.org/vocab/unit#CoulombPerMole
statcoulombPerMole,Statcoulomb per Mole,Electrical charge per count,statC/mol,http://qudt.org/vocab/unit#StatcoulombPerMole
coulombPerKilogram,Coulomb per Kilogram,Electrical charge per mass,C/kg,http://qudt.org/vocab/unit#CoulombPerKilogram
hertzPerTesla,Hertz per Tesla,Electrical charge per mass,Hz T^-1,http://qudt.org/vocab/unit#HertzPerTesla
megahertzPerTesla,Megahertz per Tesla,Electrical charge per mass,MHz T^-1,http://qudt.org/vocab/unit#MegaHertzPerTesla
milliequivalentPer100Gram,Milliequivalent per 100 Gram,Electrical charge per mass,meq/100 g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milliequivalentPerHectogram,Milliequivalent per Hectogram,Electrical charge per mass,meq/hg,http://environment.data.gov.au/def/unit/MilliEquivalentPerHectoGram
milliequivalentPerKilogram,Milliequivalent per Kilogram,Electrical charge per mass,meq/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perTeslaSecond,Per Tesla Second,Electrical charge per mass,s^-1 T^-1,http://qudt.org/vocab/unit#PerTeslaSecond
roentgen,Roentgen,Electrical charge per mass,R,http://qudt.org/vocab/unit#Roentgen; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
coulombPerCubicMeter,Coulomb per Cubic Meter,Electrical charge volume density,C/m^3,http://qudt.org/vocab/unit#CoulombPerCubicMeter
microequivalentPerLiter,Microequivalent per Liter,Electrical charge volume density,ueq/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milliequivalentPerLiter,Milliequivalent per Liter,Electrical charge volume density,meq/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
abmho,Abmho,Electrical conductance,,http://www.unidata.ucar.edu/software/udunits/
absiemen,Absiemen,Electrical conductance,aS,http://qudt.org/vocab/unit#Absiemen
mho,Mho,Electrical conductance,mho,http://qudt.org/vocab/unit#Mho; http://unitsofmeasure.org/ucum.html#para-47
siemen,Siemen,Electrical conductance,S,http://qudt.org/vocab/unit#Siemens; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
statmho,Statmho,Electrical conductance,statS,http://qudt.org/vocab/unit#Statmho; http://www.unidata.ucar.edu/software/udunits/
decisiemenPerCentimeter,Decisiemen per Centimeter,Electrical conductivity,dS/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
decisiemenPerMeter,Decisiemen per Meter,Electrical conductivity,dS/m,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromhoPerCentimeter,Micromho per Centimeter,Electrical conductivity,µMhos/cm,
microsiemenPerCentimeter,Microsiemen per Centimeter,Electrical conductivity,uS/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millimhoPerCentimeter,Millimho per Centimeter,Electrical conductivity,mMhos/cm,
millisiemenPerCentimeter,Millisiemen per Centimeter,Electrical conductivity,mS/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
siemenPerCentimeter,Siemen per Centimeter,Electrical conductivity,S/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
siemenPerMeter,Siemen per Meter,Electrical conductivity,S/m,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
abampere,Abampere,Electrical current,abA,http://qudt.org/vocab/unit#Abampere
ampere,Ampere,Electrical current,A,http://qudt.org/vocab/unit#Ampere
biot,Biot,Electrical current,Bi,http://qudt.org/vocab/unit#Biot
planckCurrent,Planck Current,Electrical current,,http://qudt.org/vocab/unit#PlanckCurrent
statampere,Statampere,Electrical current,statA,http://qudt.org/vocab/unit#Statampere; http://www.unidata.ucar.edu/software/udunits/
abamperePerSquareCentimeter,Abampere per Square Centimeter,Electrical current density,abA / cm^2,http://qudt.org/vocab/unit#AbamperePerSquareCentimeter
amperePerSquareMeter,Ampere per Square Meter,Electrical current density,A/m^2,http://qudt.org/vocab/unit#AmperePerSquareMeter
planckCurrentDensity,Planck Current Density,Electrical current density,,http://qudt.org/vocab/unit#PlanckCurrentDensity
statamperePerSquareCentimeter,Statampere per Square Centimeter,Electrical current density,statA / cm^2,http://qudt.org/vocab/unit#StatamperePerSquareCentimeter
amperePerDegree,Ampere per Degree,Electrical current per angle,A/deg,http://qudt.org/vocab/unit#AmperePerDegree
amperePerRadian,Ampere per Radian,Electrical current per angle,,http://qudt.org/vocab/unit#AmperePerRadian
amperePerJoule,Ampere per Joule,Electrical current per energy,A/J,http://qudt.org/vocab/unit#AmperePerJoule
coulombMeter,Coulomb Meter,Electrical dipole moment,C m,http://qudt.org/vocab/unit#CoulombMeter
debye,Debye,Electrical dipole moment,D,http://qudt.org/vocab/unit#Debye
abvoltPerCentimeter,Abvolt per Centimeter,Electrical field strength,,http://qudt.org/vocab/unit#AbvoltPerCentimeter
newtonPerCoulomb,Newton per Coulomb,Electrical field strength,N/C,http://qudt.org/vocab/unit#NewtonPerCoulomb
statvoltPerCentimeter,Statvolt per Centimeter,Electrical field strength,,http://qudt.org/vocab/unit#StatvoltPerCentimeter
voltPerMeter,Volt per Meter,Electrical field strength,V/m,http://qudt.org/vocab/unit#VoltPerMeter
abvoltCentimeter,Abvolt Centimeter,Electrical flux,abV cm,http://qudt.org/vocab/unit#AbvoltCentimeter
statvoltCentimeter,Statvolt Centimeter,Electrical flux,statV cm,http://qudt.org/vocab/unit#StatvoltCentimeter
voltMeter,Volt Meter,Electrical flux,m V,http://qudt.org/vocab/unit#VoltMeter
abcoulombPerSquareCentimeter,Abcoulomb per Square Centimeter,Electrical flux density,,http://qudt.org/vocab/unit#AbcoulombPerSquareCentimeter
coulombPerSquareMeter,Coulomb per Square Meter,Electrical flux density,C/m^2,http://qudt.org/vocab/unit#CoulombPerSquareMeter
statcoulombPerSquareCentimeter,Statcoulomb per Square Centimeter,Electrical flux density,,http://qudt.org/vocab/unit#StatcoulombPerSquareCentimeter
abfaradPerCentimeter,Abfarad per Centimeter,Electrical permittivity,,http://qudt.org/vocab/unit#AbfaradPerCentimeter
faradPerMeter,Farad per Meter,Electrical permittivity,F/m,http://qudt.org/vocab/unit#FaradPerMeter
coulombSquareMeter,Coulomb Square Meter,Electrical quadrupole moment,C m^2,http://qudt.org/vocab/unit#CoulombSquareMeter
abohm,Abohm,Electrical resistance,abOhm,http://qudt.org/vocab/unit#Abohm
ohm,Ohm,Electrical resistance,Ohm,http://qudt.org/vocab/unit#Ohm; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
planckImpedance,Planck Impedance,Electrical resistance,,http://qudt.org/vocab/unit#PlanckResistance
planckResistance,Planck Resistance,Electrical resistance,,http://qudt.org/vocab/unit#PlanckResistance
statohm,Statohm,Electrical resistance,statOhm,http://qudt.org/vocab/unit#Statohm; http://www.unidata.ucar.edu/software/udunits/
kiloohmCentimeter,Kiloohm Centimeter,Electrical resistivity,kOhm-cm,
